sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
CR44,CAN-RAD BEAUTY LTD.,114,LORNE PARK SALON/SPA,1107 LORNE PARK RD,?,MISSISSAUGA,ON,Ontario,L5H3A1,999,999
BEST,BEST WESTERN INTERNAT'NAL,C668,WINSTON SALEM NC,?,?,?,YT,Yukon,?,999,999
IGAQ,IGA SUPERMARKETS,8368,IGA EXTRA GLADU,400 BOUL DU SEMINAIRE N,?,SAINT-JEAN-SUR-RICHELIEU,QC,Quebec,J3B5L2,45.31271,-73.2654
IGAQ,IGA SUPERMARKETS,8049,IGA FAM. GUILBAULT,3450 RUE QUEEN,?,RAWDON,QC,Quebec,J0K1S0,46.03754,-73.69984
IGAQ,IGA SUPERMARKETS,8205,IGA POIRIER,484 RUE PRINCIPALE,?,HUDSON,QC,Quebec,J0P1H0,45.459491,-74.143686
IGAQ,IGA SUPERMARKETS,8197,GAGNON & FILLE,2137 BOUL CURE-LABELLE,?,LAVAL,QC,Quebec,H7T1L4,45.556764,-73.765985
BW86,BROKERHOUSE DISTRIBUTORS,5,VENDING PRODUCTS CAN,?,?,?,BC,British Columbia,?,999,999
IGAQ,IGA SUPERMARKETS,286,IGA GAZAILLE,461 CH DE KNOWLTON,?,LAC-BROME,QC,Quebec,J0E1V0,45.21467,-72.52644
IGAQ,IGA SUPERMARKETS,464,IGA EXTRA COOP,999 AV DE BOURGOGNE,?,QUEBEC,QC,Quebec,G1W4S6,46.76543,-71.31097
IGAQ,IGA SUPERMARKETS,530,IGA GRANDE-RIVIERE,143 GRANDE ALLEE E,?,GRANDE-RIVIERE,QC,Quebec,G0C1V0,48.39589,-64.4923
BW85,CITRUS-O CARPET CARE INC.,1,CITRUS O CARPET CARE,?,?,?,BC,British Columbia,?,999,999
IGAQ,IGA SUPERMARKETS,410,FAMILLE LAFLAMME,771 AV ROYALE,?,BEAUPORT,QC,Quebec,G1E1Z1,46.862445,-71.187536
BW61,CANADA HEARING CENTRE LTD,1,CANADA HEARING,?,?,?,AB,Alberta,?,999,999
BW61,CANADA HEARING CENTRE LTD,47,LISTENUP! CANADA,?,?,?,ON,Ontario,?,999,999
BW61,CANADA HEARING CENTRE LTD,42,HEARINGLIFE CANADA,?,?,?,BC,British Columbia,?,999,999
BW61,CANADA HEARING CENTRE LTD,101,LISTENUP! CANADA,?,?,?,ON,Ontario,?,999,999
SBYA,SOBEYS INC,325,PRIMROSE STREET,6 PRIMROSE ST,?,DARTMOUTH,NS,Nova Scotia,B3A4C5,44.68171,-63.58637
IOMC,IRVING C-STORE,C715,MEDUCTIC GAS BAR,"10576, ROUTE 2",?,MEDUCTIC,NB,New Brunswick,E6H1J2,45.99756,-67.4977
IOMG,IRVING,A312,CHARLO SVC STATION,230 CHALEUR ST,?,CHARLO,NB,New Brunswick,E8E2E9,48.00732,-66.34495
IOMG,IRVING,K513,SANDRINGHAM GAS BAR,138 MAIN STREET,?,SANDRINGHAM,NL,Newfoundland & Labrador,A0G3Y0,49.24351,-55.0592
BW83,SELFCARE HOME HEALTH PROD,?,?,?,?,?,?,Unknown,?,999,999
SHEL,SHELL CANADA,DD11,SOBEYS BERTHIERVILLE,1181 AV GILLES-VILLENEUVE,?,BERTHIERVILLE,QC,Quebec,J0K1A0,46.089984,-73.199438
SHOP,YOURSHOPS.CA,1266,TOMS CANADA,?,?,?,ON,Ontario,?,999,999
FLOR,UNITED FLOORS,1813,UNITED FLOORS CHATHA,71 SASS RD RR 4,?,CHATHAM,ON,Ontario,N7M5J4,42.41129,-82.16433
UNIS,AUTO PLUS AUTO PART PLUS,S024,AGRATEC INT'L,HWY. 318,?,CARNDUFF,SK,Saskatchewan,S0C0S0,49.17553,-101.79782
NAVY,OLD NAVY,5463,BRAMALEA CITY CENTRE,25 PEEL CENTRE DRIVE,?,BRAMPTON,ON,Ontario,L6T3R5,43.7144,-79.72507
NAVY,OLD NAVY,3461,METROPOLIS AT METROT,4700 KINGSWAY,?,BURNABY,BC,British Columbia,V5H4M1,49.22829,-122.99938
IGAQ,IGA SUPERMARKETS,1915,MARCHE CARRIERE INC.,27 RUE PRINCIPALE O,?,L'ASCENSION,QC,Quebec,J0T1W0,46.55211,-74.83203
IGAQ,IGA SUPERMARKETS,777,ST-VICTOR TRADITION,137 RUE COMMERCIALE,?,SAINT-VICTOR,QC,Quebec,G0M2B0,46.14569,-70.90401
ELNK,EASTLINK,13,HIGHLAND SQUARE MALL,689 WESTVILLE ROAD,UNIT 220,NEW GLASGOW,NS,Nova Scotia,B2H2J6,45.57881,-62.6638
IRIS,IRIS,616,IRIS,3292 DUNMORE RD SE,?,MEDICINE HAT,AB,Alberta,T1B2R4,50.004456,-110.643382
IOMG,IRVING,7802,GRAND FALLS HARDY,46 HARDY AVE,?,GRAND FALLS,NL,Newfoundland & Labrador,A2A2J3,48.95061,-55.64784
IOMC,IRVING C-STORE,5711,FREDERICTON JCT IRV,207 SUNBURY DRIVE,?,FREDERICTON JUNCTION,NB,New Brunswick,E5L1R7,45.66349,-66.6148
IOBC,IRVING BULLOCH,5713,BISHOP DRIVE IRVING,30 LIAN ST,?,FREDERICTON,NB,New Brunswick,E3C0A2,45.94418,-66.69019
SHOP,YOURSHOPS.CA,1255,CYMAX,?,?,?,ON,Ontario,?,999,999
SBYP,SOBEYS ATL. IN-STORE PHAR,719,DIGBY,"110 Warwick St., Digby",?,Digby,NS,Nova Scotia,B0V1A0,44.62297,-65.76783
SBYP,SOBEYS ATL. IN-STORE PHAR,322,BRIDGEWATER,349 LAHAVE STREET,?,BRIDGEWATER,NS,Nova Scotia,B4V3A2,44.37671,-64.51266
CR44,CAN-RAD BEAUTY LTD.,98,LUCE HAIR STUDIO,170 PRINCESS ST,?,KINGSTON,ON,Ontario,K7L1B1,999,999
SHL5,SHELL CANADA,DD0E,PHILIPPE GOSSELIN &,1582 RUE DU SUD,?,COWANSVILLE,QC,Quebec,J2K2Y8,999,999
BEST,BEST WESTERN INTERNAT'NAL,C629,TALLAHASSEE FL,?,?,?,YT,Yukon,?,999,999
IGAQ,IGA SUPERMARKETS,8735,REAL CHARTIER,377 RUE PRINCIPALE,?,SAINT-SAUVEUR,QC,Quebec,J0R1R0,45.890768,-74.162454
RMBC,RETAIL MEDIA GROUP,ATNB,Avon Canada,?,?,?,NL,Newfoundland & Labrador,?,999,999
RM99,SERVICE CORPORATION INT'L,168,HASTINGS DIONNE FH,?,?,?,SK,Saskatchewan,?,999,999
SPLS,STAPLES,166,BELLEVILLE,190 BELL BLVD.,?,BELLEVILLE,ON,Ontario,K8P5L2,44.18646,-77.40455
SPLS,STAPLES,236,ANJOU,11250 RUE RENAUDE-LAPOINTE,?,ANJOU,QC,Quebec,H1J2V7,45.61171,-73.5905
SPLS,STAPLES,134,OWEN SOUND,1077 10TH ST.W.,?,OWEN SOUND,ON,Ontario,N4K5S2,44.56152,-80.9672
SPLS,STAPLES,70,MIDTOWN-T.O.,1140 YONGE STREET,?,TORONTO,ON,Ontario,M4W2L8,43.67976,-79.39079
SPLS,STAPLES,260,TILLSONBURG TC,200 BROADWAY STREET,?,TILLSONBURG,ON,Ontario,N4G5A7,42.86227,-80.72938
RN15,RO-NA HARDWARE,5540,RONA WESTDALE MALL,1151 DUNDAS ST W,?,MISSISSAUGA,ON,Ontario,L5C1C6,43.556156,-79.644359
33,CENTURY 21,3255,KELLEHER REAL ESTATE,1151 DUNDAS ST W,?,MISSISSAUGA,ON,Ontario,L5C1C6,43.557041,-79.643381
MCHL,MICHAELS,4958,DRUMMONDVILLE,MEGA CENTRE DRUMMONDVILLE,850 RUE HAINS,DRUMMONDVILLE,QC,Quebec,J2C0J2,45.899651,-72.522312
MART,MARLIN TRAVEL,778,MARLIN TRAVEL LADNER,5203 48TH AVENUE,?,DELTA,BC,British Columbia,V4K1W4,49.090316,-123.078656
CV01,CLUB VOYAGES,570,CV SUPER SOLEIL,300 RUE BARKOFF,?,CAP-DE-LA-MADELEINE,QC,Quebec,G8T2A3,46.37109,-72.55834
CV01,CLUB VOYAGES,577,CV DUMOULIN,334 RUE PRINCIPALE,?,ST-ZOTIQUE,QC,Quebec,J0P1Z0,45.25332,-74.22521
RN15,RO-NA HARDWARE,6106,RONA REVY SURREY,?,?,?,BC,British Columbia,?,49.15044,-122.76104
TRUN,TOYS R US,3532,LONDONDERRY MALL,137 AVENUE & 66TH STREET,?,EDMONTON,AB,Alberta,T5C3C8,53.60189,-113.44361
MCHL,MICHAELS,3622,HYLANDS CENTER,1737 RICHMOND ST,?,LONDON,ON,Ontario,N5X3X2,43.02771,-81.28344
MCHL,MICHAELS,3903,SHAWNESSY CENTRE,"130, 350R SHAWVILLE BLVD SE",?,CALGARY,AB,Alberta,T2Y3S4,50.89861,-114.06262
SPLS,STAPLES,119,SHERWOOD PARK,350 390 BASELINE RD.,?,SHERWOOD PARK,AB,Alberta,T8H1X1,53.54138,-113.29754
BUDG,BUDGET RENT A CAR,0WZU,BROSSARD,8245 BOUL TASCHEREAU,?,BROSSARD,QC,Quebec,J4Y1A4,45.447316,-73.46958
BOST,BOSTON PIZZA INTERN'AL,4,Shellbourne St,3994 SHELBOURNE STREET,?,VICTORIA,BC,British Columbia,V8N3E1,48.471899,-123.332909
TEST,AIR MILES REWARD PROGRAM,52,DEMO 3,123 ANYWHERE STREET,?,NOWHERE,AB,Alberta,M1M1M1,43.7126,-79.2465
MALO,VITROPLUS/ZIEBART,91,VITROPLUS/ZIEBART DO,2600 BOUL PITFIELD,?,SAINT-LAURENT,QC,Quebec,H4S1G9,45.49492,-73.74445
2,BMO BANK OF MONTREAL,128,BMO BANK OF MONTREAL,6951 CH. DE LA COTE-ST-LUC,?,COTE-SAINT-LUC,QC,Quebec,H4V1J2,45.466345,-73.653362
DEMF,DAOUST & MICHEL FORGET,D160,9 Bl.Seig Blainville,"9, BOUL. DE LA SEIGNEURIE",?,BLAINVILLE,QC,Quebec,J7C4G6,45.67045,-73.86543
5,SAFEWAY,291,DALHOUSIE STATION,5005 DALHOUSIE DRIVE NW,?,CALGARY,AB,Alberta,T3A5R8,51.10539,-114.15654
PPDM,PHARMA PLUS DRUGMARTS,1495,HOLLAND CROSS,"1620 SCOTT STREET, UNIT 29",?,OTTAWA,ON,Ontario,K1Y4S7,45.40368,-75.73426
CHBC,THE CHILDREN'S PLACE BC,3224,WOODGROVE CENTRE,UNIT 79 6631 ISLAND HWY N,?,NANAIMO,BC,British Columbia,V9T4T7,49.23685,-124.05056
2,BMO BANK OF MONTREAL,785,BMO BANK OF MONTREAL,250 GREENBANK RD,?,OTTAWA,ON,Ontario,K2H8X4,45.324224,-75.778464
BEST,BEST WESTERN INTERNAT'NAL,C212,COURTENAY BC,1590 Cliffe Ave,?,Courtenay,BC,British Columbia,V9N2K4,49.68487,-124.99126
BUDG,BUDGET RENT A CAR,797,EDMONTON  AB,9926 35 AVENUE,?,EDMONTON,AB,Alberta,T6E6B2,53.46897,-113.48684
LAWT,LAWTONS,144,Scotia Square,5201 DUKE ST,SCOTIA SQUARE,HALIFAX,NS,Nova Scotia,B3J1N9,44.649229,-63.57529
TURB,TURBO,79F1,8908 96a St,8908 - 96A STREET,?,FORT ST JOHN,BC,British Columbia,V1J6E2,56.23807,-120.84084
PEPL,PEOPLES JEWELLERS,5167,HALIFAX CENTRE,7001 MUMFORD ROAD,?,HALIFAX,NS,Nova Scotia,B3L2H8,44.64847,-63.6209
2,BMO BANK OF MONTREAL,307,BMO BANK OF MONTREAL,2727 PORTAGE AVE,?,WINNIPEG,MB,Manitoba,R3J0R2,49.878122,-97.272686
SHEL,SHELL CANADA,03B5,75 Eardley Aylmer QC,75 EARDLEY ROAD,?,GATINEAU/HULL,QC,Quebec,J9H4K5,45.400198,-75.852657
MAPP,MAPPINS,5289,ABERDEEN MALL,"1320 W. TRANS CANADA HWY, UNIT 124",?,KAMLOOPS,BC,British Columbia,V1S1J2,50.65478,-120.37148
2,BMO BANK OF MONTREAL,246,BMO BANK OF MONTREAL,763 BAY,?,TORONTO,ON,Ontario,M5G2R3,43.659501,-79.385172
APDO,METRO,712,5383 Yonge St.,20 CHURCH AVE,NORTHTOWN CENTRE,NORTH YORK,ON,Ontario,M9N1M3,43.775199,-79.414271
SHEL,SHELL CANADA,0AAA,930 Des Recollets,930 BOUL DES RECOLLETS,?,TROIS RIVIERES,QC,Quebec,G8Z3W8,46.358889,-72.571944
SHEL,SHELL CANADA,7D3G,1119 Dufferin Av,?,?,?,ON,Ontario,?,42.592956,-82.394833
SHEL,SHELL CANADA,188F,2435 Finch Ave W,2435 FINCH AVENUE WEST,?,NORTH YORK,ON,Ontario,M9M2E6,43.75042,-79.54945
JENN,JENNY CRAIG CANADA,1821,MARKHAM CENTRE,72 COPPER CREEK DR,UNIT 104,MARKHAM,ON,Ontario,L6B0P2,43.86608,-79.22896
LCBO,LCBO,8,908 St Clair W TO,908 ST. CLAIR AVENUE WEST,?,TORONTO,ON,Ontario,M6C1C6,43.680096,-79.43379
33,CENTURY 21,2541,MILLER REAL ESTATE,467 SPEERS ROAD,?,OAKVILLE,ON,Ontario,L6K3S4,43.43743,-79.69736
16,GOODYEAR CANADA - CENTRAL,7725,STREETVILLE AUTO,64 THOMAS ST,UNIT 1,MISSISAUGA,ON,Ontario,L5M1Y7,43.577999,-79.714516
BOST,BOSTON PIZZA INTERN'AL,450,Scarborough Town,400 PROGRESS AVE,?,SCARBOROUGH,ON,Ontario,M1P5J1,43.775473,-79.263076
33,CENTURY 21,2899,CITY REALTY INC.,91 QUEEN STREET,PO BOX 662,NIAGARA ON THE LAKE,ON,Ontario,L0S1J0,43.25641,-79.07383
NSLC,NOVA SCOTIA LIQUOR,2185,SPRYFIELD,279 HERRING COVE RD,?,HALIFAX,NS,Nova Scotia,B3P1M2,44.61725,-63.61464
RN20,RONA L'ENTREPOT,550,RONA (HALIFAX),350 HORSESHOE LAKE DR,?,HALIFAX,NS,Nova Scotia,B3S0B4,44.63776,-63.67225
FRAM,FRAMING & ART CENTRE,THBA,"Thunder Bay, Ontario",1186 MEMORIAL AVENUE,?,THUNDER BAY,ON,Ontario,P7B6P9,48.4006,-89.246
LCBO,LCBO,175,Orillia,201 MISSISSAGA STREET EAST,?,ORILLIA,ON,Ontario,L3V1W1,44.610303,-79.414552
SHEL,SHELL CANADA,814B,3690 Johnston Rd,3690 JOHNSTON RD,?,PORT ALBERNI,BC,British Columbia,V9Y5N7,49.265686,-124.788475
PPDM,PHARMA PLUS DRUGMARTS,1313,RICHMOND HILL,10870 YONGE STREET,?,RICHMOND HILL,ON,Ontario,L4C3E4,43.89254,-79.44231
RXAL,REXALL DRUG STORES,8121,MALDEN & SPRUCEWOOD,5881 MALDEN ROAD,?,LA SALLE,ON,Ontario,N9H1S5,42.24822,-83.06067
33,CENTURY 21,3228,LANDSTARS REALTY,203-350 HIGHWAY 7 EAST,?,RICHMOND HILL,ON,Ontario,L4B3N2,43.84294,-79.38925
CRST,CARSTAR AUTOMOTIVE CANADA,50,CARSTAR NORTH BAY,"23 COMMERCE CT, BOX 597",?,NORTH BAY,ON,Ontario,P1B8J5,46.312853,-79.429103
PJCQ,JEAN COUTU,49,1001 MONTARVILLE,"1001, BOULEVARD MONTARVILLE",?,BOUCHERVILLE,QC,Quebec,J4B6P5,45.590227,-73.433475
LCBO,LCBO,333,1st Canadian Place,FIRST CANADIAN PLACE,LOWER CONCOURSE,TORONTO,ON,Ontario,M5X1B1,43.648316,-79.382195
13,NATIONAL TILDEN,L206,LINDSAY,129 ANGELINE ST NORTH,?,LINDSAY,ON,Ontario,K9V4M9,44.35874,-78.75462
2,BMO BANK OF MONTREAL,114,BMO BANK OF MONTREAL,179 BOUL. D'ANJOU,?,CHATEAUGUAY,QC,Quebec,J6J2R3,45.35973,-73.72567
HBCR,HBC REWARDS,5134,HOME OUTFITTERS,991 TAUNTON ROAD EAST,?,OSHAWA,ON,Ontario,L1K0H7,43.9414,-78.84073
SHEL,SHELL CANADA,240,9405 Lacordaire,9405 LACORDAIRE,?,ST-LEONARD,QC,Quebec,H1R3E8,45.599686,-73.612147
RN15,RO-NA HARDWARE,9968,RONA 24540- 16TH AVE,24540 16 AVE,?,LANGLEY,BC,British Columbia,V2Z1J9,49.03046,-122.54453
BOST,BOSTON PIZZA INTERN'AL,545,UXBRIDGE,284 TORONTO ST S,?,UXBRIDGE,ON,Ontario,L9P0C5,44.093964,-79.13118
BUDG,BUDGET RENT A CAR,0W8H,T BUDGET FIREHALL TR,140 6TH AVENUE SOUTHEAST,?,CALGARY,AB,Alberta,T2G0G2,51.04745,-114.06053
SHEL,SHELL CANADA,0A00,Greenfield Park QC,"3337,BOUL TASCHEREAU",?,GREENFIELD PARK,NS,Nova Scotia,J4V2H5,45.493632,-73.479177
UNIS,AUTO PLUS AUTO PART PLUS,C064,Auto Place/Procare,1755 SPRINGFIELD,?,KELOWNA,BC,British Columbia,V1Y5V5,49.87668,-119.4596
SHEL,SHELL CANADA,20H2,Mission BC,32588 LOGAN AVENUE,?,MISSION,BC,British Columbia,V2V6C7,49.133753,-122.322176
MAPP,MAPPINS,5520,NIAGARA SQUARE S.C.,7555 MONTROSE ROAD,?,NIAGARA FALLS,ON,Ontario,L2H2E9,43.073604,-79.12507
2,BMO BANK OF MONTREAL,36,BMO BANK OF MONTREAL,556 QUEEN ST E,?,SAULT STE MARIE,ON,Ontario,P6A2A1,46.509295,-84.329773
BOST,BOSTON PIZZA INTERN'AL,524,Orangeville,5 BUENA VISTA DRIVE,?,ORANGEVILLE,ON,Ontario,L9W0A2,43.922577,-80.081565
LCBO,LCBO,156,Delrex Market Ctr,236 GUELPH ST,DELREX MARKET CENTRE,GEORGETOWN,ON,Ontario,L7G4B1,43.649909,-79.897923
SHEL,SHELL CANADA,076E,5706 Hwy 7 Markham,5706 HIGHWAY 7,?,MARKHAM,ON,Ontario,L3P1B4,43.87133,-79.26802
RN01,RONA LE QUINCAILLIER,476,"Mont-Royal,Montreal","2140, MONT-ROYAL EST",?,MONTREAL,QC,Quebec,H2H1J8,45.53544,-73.57207
BOST,BOSTON PIZZA INTERN'AL,63,Langley By Pass,19700 LANGLEY BYPASS,?,LANGLEY,BC,British Columbia,V3A7B1,49.110881,-122.677249
PJCQ,JEAN COUTU,488,MERCIER,775 BOUL SAINT-JEAN-BAPTISTE,?,MERCIER,QC,Quebec,J6R1G1,45.315105,-73.742737
NSLL,NOVA SCOTIA LIQUOR,2270,PORTERS LAKE,"5240 HIGHWAY #7, UNIT 2",LAKEVIEW SHOPPING PLAZA,PORTERS LAKE,NS,Nova Scotia,B3E1J7,44.74406,-63.28216
PPDM,PHARMA PLUS DRUGMARTS,380,BARRHAVEN MALL,"900 GREENBANK RD., UNIT 106",?,NEPEAN,ON,Ontario,K2J1S8,45.28562,-75.75571
HBCR,HBC REWARDS,5105,HOME OUTFITTERS,THICKSON RIDGE POWER CENTRE,1650 VICTORIA STREET E.,WHITBY,ON,Ontario,L1N9L4,43.86686,-78.90122
19,FOUNTAIN TIRE,109,FOUNTAIN TIRE F109,1039 GREAT STREET,?,PRINCE GEORGE,BC,British Columbia,V2N2K8,53.88073,-122.74086
BUDG,BUDGET RENT A CAR,4200,HALIFAX  NS-DTN,1588 HOLLIS STREET,METROPARK,HALIFAX,NS,Nova Scotia,B3J1V8,44.64726,-63.57275
RN05,RONA L'EXPRESS,1014,RONA QUINC WHALEN,1250 RTE PRINCIPALE,?,VAL-DES-MONTS,QC,Quebec,J8N2K6,45.70103,-75.71663
2,BMO BANK OF MONTREAL,608,BMO BANK OF MONTREAL,4800 DUFFERIN ST,?,DOWNSVIEW,ON,Ontario,M3H5S8,43.779001,-79.469506
UNIS,AUTO PLUS AUTO PART PLUS,4003,AUTOCHOICE PARTS,475 WINDMILL RD,?,DARTMOUTH,NS,Nova Scotia,B3B1B2,44.688,-63.59938
BOST,BOSTON PIZZA INTERN'AL,311,"St. Vital, Winnipeg",1919 BISHOP GRANDIN BLVD,?,WINNIPEG,MB,Manitoba,R2M3E8,49.83796,-97.094357
SHEL,SHELL CANADA,7A21,Wabamun AB,HIGHWAY 16 WEST,?,WABAMUN,MB,Manitoba,T0E2K0,53.562806,-114.468115
PJCQ,JEAN COUTU,345,ST GEORGES DE BEAUCE,9015 BOUL LACROIX,?,ST GEORGES DE BEAUCE,QC,Quebec,G5Y2B4,46.13075,-70.69465
2,BMO BANK OF MONTREAL,188,BMO BANK OF MONTREAL,378 LAKESHORE RD E,?,MISSISSAUGA,ON,Ontario,L5G1H5,43.563575,-79.572703
LCBO,LCBO,705,Sherwood Forest Ctr,1900 DUNDAS STREET WEST,SHERWOOD FORREST MALL VINTAGES,MISSISSAUGA,ON,Ontario,L5K1P9,43.53986,-79.66261
SHEL,SHELL CANADA,7A48,1907 - 18 Ave Coaldale,?,?,?,AB,Alberta,?,49.729203,-112.622461
2,BMO BANK OF MONTREAL,865,BMO BANK OF MONTREAL,1 SPADINA ROAD,?,RICHMOND HILL,ON,Ontario,L4B3M2,43.860731,-79.39607
DEMF,DAOUST & MICHEL FORGET,D078,2050 R.Laennec Laval,"2050-B, BOUL. RENE LAENNEC",?,LAVAL,QC,Quebec,H7M5B1,45.60998,-73.72065
5,SAFEWAY,586,SARGENT,600 SARGENT,?,WINNIPEG,MB,Manitoba,R3E0A1,49.89646,-97.15922
2,BMO BANK OF MONTREAL,839,BMO BANK OF MONTREAL,9911 CHIILA BLVD S.W.,?,TSUU T'INA,AB,Alberta,T2W6H6,50.949051,-114.14462
BUDG,BUDGET RENT A CAR,4297,REGINA  SK DTN,2401 1ST AVENUE NORTH,?,REGINA,SK,Saskatchewan,S4R8L5,50.46853,-104.6173
CRST,CARSTAR AUTOMOTIVE CANADA,2001,CARSTAR SASKNORTHEND,813 51ST ST E,51ST STREET & MILLER AVENUE,SASKATOON,SK,Saskatchewan,S7K0X7,52.17281,-106.65193
PJCQ,JEAN COUTU,153,95 CURE LABELLE,"95, BOUL.CURE LABELLE",?,SAINTE-THERESE,QC,Quebec,J7E2X6,45.644297,-73.835358
2,BMO BANK OF MONTREAL,742,BMO BANK OF MONTREAL,281 BARTON ST E,?,HAMILTON,ON,Ontario,L8L2X4,43.261127,-79.853263
SHEL,SHELL CANADA,00C4,1740Idylwyld Dr N,1740 IDLYWYLD,?,SASKATOON,SK,Saskatchewan,S7L1B3,52.152396,-106.670076
TEST,AIR MILES REWARD PROGRAM,31,TEST31,438 UNIVERSITY,?,TORONTO,ON,Ontario,M5G2L1,43.6543,-79.38842
VSNS,VISIONS ELECTRONICS,20,REGINA WEST,1440 Albert Street,?,Regina,SK,Saskatchewan,S4R2R7,50.45586,-104.61882
LCBO,LCBO,195,1900 EGLINTON AVE E,1900 EGLINTON AVE EAST,?,SCARBOROUGH,ON,Ontario,M1L2L9,43.72737,-79.29324
2,BMO BANK OF MONTREAL,391,BMO BANK OF MONTREAL,230 MENZIES ST,?,VICTORIA,BC,British Columbia,V8V2G7,48.415503,-123.374036
LCBO,LCBO,507,Garson,3060 FALCONBRIDGE HWY.,?,GARSON,ON,Ontario,P3L1P6,46.549303,-80.876785
BUDG,BUDGET RENT A CAR,4428,WHITEHORSE YT DTN,4178 4TH AVENUE,?,WHITEHORSE,YT,Yukon,Y1A1J6,60.72404,-135.0613
SHEL,SHELL CANADA,3F22,FLYING J - RED DEER,?,?,?,AB,Alberta,?,52.287908,-113.849272
2,BMO BANK OF MONTREAL,10,BMO BANK OF MONTREAL,15 MARKET SQUARE,?,SAINT JOHN,NB,New Brunswick,E2L1E8,45.272964,-66.062438
BUDG,BUDGET RENT A CAR,4375,VAL D'OR  QC-APO,125 7TH STREET,VAL D'OR AIRPORT,VAL D'OR,QC,Quebec,J9P4N9,48.10261,-77.79039
JENN,JENNY CRAIG CANADA,1060,VICTORIA CENTRE,815 CLOVERDALE AVE.,#208,VICTORIA,BC,British Columbia,V8X5H9,48.45075,-123.36978
IRIS,IRIS,680,IRIS,#1506 - 2271 HIGHWAY 97 NORTH,?,KELOWNA,BC,British Columbia,V1Y6H2,49.88171,-119.4378
BOST,BOSTON PIZZA INTERN'AL,504,Niagara Falls,7190 MORRISON STREET,?,NIAGARA FALLS,ON,Ontario,L2E7K5,43.104049,-79.114963
BEST,BEST WESTERN INTERNAT'NAL,C217,KAMLOOPS BC,660 Columbia St West,?,Kamloops,BC,British Columbia,V2C1L1,50.67137,-120.35459
RN15,RO-NA HARDWARE,429,RONA 353 MAIN ST E,353 MAIN ST E,?,KINGSVILLE,ON,Ontario,N9Y1A7,42.03774,-82.72325
13,NATIONAL TILDEN,L2AN,BAIE COMEAU - BOUL L,707 BOUL LAFLECHE,?,BAIE-COMEAU,QC,Quebec,G5C1C6,49.19796,-68.2583
2,BMO BANK OF MONTREAL,134,BMO BANK OF MONTREAL,6025 BOUL. HENRI-BOURASSA E.,?,MONTREAL-NORD,QC,Quebec,H1G2V2,45.607671,-73.617492
SASE,SASKENERGY & NETWORK MEM,6167,MACKENZIE PLBG & HTG,915 FLEURY ST,?,REGINA,SK,Saskatchewan,S4N4W7,50.46547,-104.57667
SHEL,SHELL CANADA,A614,SUPER SOIR RIMOUSKI,?,?,?,QC,Quebec,?,48.438509,-68.535687
2,BMO BANK OF MONTREAL,249,BMO BANK OF MONTREAL,2739 EGLINTON AVE E,?,SCARBOROUGH,ON,Ontario,M1K2S2,43.736516,-79.248119
2,BMO BANK OF MONTREAL,270,BMO BANK OF MONTREAL,6760 MORRISON ST,?,NIAGARA FALLS,ON,Ontario,L2E6Z8,43.103805,-79.097036
LCBO,LCBO,560,Victoria Harbour,144 ALBERT STREET,?,VICTORIA HARBOUR,ON,Ontario,L0K2A0,44.751089,-79.776058
HIEX,HOLIDAY INN EXPRESS,EGYH,EDMONTON,10017 179A ST.,?,EDMONTON,AB,Alberta,T5S2L4,53.53857,-113.63082
SHEL,SHELL CANADA,0E6A,St Cryilee Wendover,2010 ROUTE 122,?,ST CYRILLE DE WENDOVER,QC,Quebec,J1Z1B8,45.909941,-72.452476
SHEL,SHELL CANADA,085E,307 Bayfield St,307 BAYFIELD STREET,?,BARRIE,ON,Ontario,L4M3C2,44.40041,-79.69963
BOST,BOSTON PIZZA INTERN'AL,556,St. Thomas,860 TALBOT STREET,?,ST THOMAS,ON,Ontario,N5P1E2,42.778742,-81.183517
BOST,BOSTON PIZZA INTERN'AL,195,Sherwood Park,11 BROADWAY BLVD,?,SHERWOOD PARK,AB,Alberta,T8H1C1,53.544922,-113.319351
33,CENTURY 21,660,BACHMAN & ASSOCIATES,360 MCMILLAN AVENUE,?,WINNIPEG,MB,Manitoba,R3L0N2,49.87579,-97.14113
BEST,BEST WESTERN INTERNAT'NAL,C264,OTTAWA ON,377 O'Connor St,?,Ottawa,ON,Ontario,K2P2M2,45.41294,-75.69136
HIEX,HOLIDAY INN EXPRESS,RRMP,BARRIE,506 BRYNE DRIVE,?,BARRIE,ON,Ontario,L4N9P6,44.33103,-79.68891
MAPP,MAPPINS,5279,STONE ROAD MALL,"435 STONE ROAD WEST, STE#N10",?,GUELPH,ON,Ontario,N1G2X6,43.518574,-80.237488
VL01,VOYAGES EN LIBERTE,941,VEL TOURBEC GRANBY,"8, rue St-Antoine Sud",?,GRANBY,QC,Quebec,J2G6W3,45.40107,-72.73047
BOST,BOSTON PIZZA INTERN'AL,170,137 Ave Edmonton,5515 137TH AVENUE,?,EDMONTON,AB,Alberta,T5A3L4,53.599206,-113.426354
33,CENTURY 21,715,ADVANCED REALTY,1415A HENDERSON HIGHWAY,?,WINNIPEG,MB,Manitoba,R2G1N3,49.94505,-97.08629
